date,title,artist,peakPos,lastPos,weeks,rank,change
1977-03-12,Dazz,Brick,3,53,21,73,-20,
1977-03-12,Ha Cha Cha (funktion),Brass Construction,51,61,12,60,1,
1977-03-12,Hard Luck Woman,KISS,15,21,13,48,-27,
1977-03-12,Kong,Dickie Goodman,48,48,6,55,-7,
1977-03-12,Lost Without Your Love,Bread,9,46,16,52,-6,
1977-03-12,Race Among The Ruins,Gordon Lightfoot,65,65,4,67,-2,
1977-03-12,Theme From Rocky (gonna Fly Now),Rhythm Heritage,94,96,3,94,2,
1977-03-12,Walk This Way,Aerosmith,10,54,17,74,-20,
1977-03-12,Welcome To Our World (Of Merry Music),Mass Production,68,71,4,68,3,
1977-03-12,You Make Me Feel Like Dancing,Leo Sayer,1,50,21,53,-3,
1988-03-12,Cherry Bomb,John Mellencamp,8,93,21,96,-3,
1988-03-12,Honestly,Stryper,23,90,19,98,-8,
1988-03-12,How Can I Forget You,Elisa Fiorillo,60,84,8,99,-15,
1988-03-12,"Live My Life (From The Film ""Hiding Out"")",Boy George,40,71,12,95,-24,
1988-03-12,There's The Girl,Heart,12,88,19,97,-9,
1988-03-12,Winter Games,David Foster,85,85,3,94,-9,
1988-03-12,You Will Know,Stevie Wonder,77,98,6,100,-2,
1983-03-12,Gloria,Laura Branigan,2,98,36,98,0,
1983-03-12,Heart Of The Night,Juice Newton,25,78,16,94,-16,
1983-03-12,Rock The Casbah,The Clash,8,76,24,93,-17,
1983-03-12,She's A Runner,Billy Squier,75,87,6,97,-10,
1983-03-12,Shoot For The Moon,Poco,50,89,13,100,-11,
1983-03-12,Space Age Love Song,A Flock Of Seagulls,30,86,18,96,-10,
1983-03-12,The Blues,Randy Newman & Paul Simon,51,72,8,92,-20,
1983-03-12,What About Me,Moving Pictures,29,85,26,95,-10,
1983-03-12,You Got Lucky,Tom Petty And The Heartbreakers,20,88,18,99,-11,
1994-03-12,Big Time Sensuality,Bjork,88,100,5,99,1,
1994-03-12,If That's Your Boyfriend (He Wasn't Last Night),MeShell Ndegeocello,73,73,6,87,-14,
1994-03-12,Keep Ya Head Up,2Pac,12,54,20,58,-4,
1994-03-12,Slow And Easy,Zapp & Roger,43,68,20,83,-15,
1994-03-12,Sound Of Da Police,KRS-One,89,89,6,100,-11,
1994-03-12,"Stay (Faraway, So Close!)",U2,61,81,13,93,-12,
2000-03-11,Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,59,79,5,99,-20,
2000-03-11,Candy,Mandy Moore,41,89,20,86,3,
2000-03-11,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,65,96,9,95,1,
2000-03-11,Girl On TV,LFO,10,94,17,94,0,
2000-03-11,Guerrilla Radio,Rage Against The Machine,69,98,20,98,0,
2000-03-11,My Love Is Your Love,Whitney Houston,4,34,28,49,-15,
2000-03-11,Pop A Top,Alan Jackson,43,0,17,100,Re-Entry,
2000-03-11,U Understand,Juvenile,83,97,6,96,1,
2000-03-11,What Do You Say,Reba,31,68,20,71,-3,
1978-03-11,California,Debby Boone,50,53,5,50,3,
1978-03-11,Don't Let Me Be Misunderstood,Santa Esmeralda Starring Leroy Gomez,15,58,19,99,-41,
1978-03-11,Everybody Loves A Rain Song,B.J. Thomas,43,43,8,61,-18,
1978-03-11,Ffun,ConFunkShun,23,56,13,100,-44,
1978-03-11,"Let It Go, Let It Flow",Dave Mason,45,45,8,66,-21,
1978-03-11,"Long, Long Way From Home",Foreigner,20,37,14,52,-15,
1978-03-11,Theme From Close Encounters,Meco,25,48,10,64,-16,
1972-03-11,(Love Me) Love The Life I Lead,The Fantastics,86,87,4,86,1,
1972-03-11,Black Dog,Led Zeppelin,15,28,12,53,-25,
1972-03-11,Brandy,Scott English,91,100,2,91,9,
1972-03-11,Gimme Some More,The JB's,67,72,8,72,0,
1972-03-11,It's All Up To You,The Dells,94,95,3,94,1,
1972-03-11,Keep On Doin' What You're Doin',Bobby Byrd,88,93,3,88,5,
1972-03-11,Never Been To Spain,Three Dog Night,5,18,12,26,-8,
1972-03-11,Tell 'Em Willie Boy 's A'Comin',Tommy James,89,89,4,89,0,
1972-03-11,The Witch Queen Of New Orleans,Redbone,21,48,17,56,-8,
1972-03-11,White Lies,Grin,75,80,6,75,5,
1972-03-11,You Got Me Walking,Jackie Wilson,93,98,3,93,5,
1989-03-11,Doctorin' The Tardis,The Timelords,66,79,13,88,-9,
1989-03-11,Falling Out Of Love,Ivan Neville,91,91,3,94,-3,
1989-03-11,Give Me The Keys (And I'll Drive You Crazy),Huey Lewis & The News,47,74,8,100,-26,
1989-03-11,I Remember Holding You,Boys Club,8,83,21,91,-8,
1989-03-11,"Kokomo (From""Cocktail"" )",The Beach Boys,1,78,28,93,-15,
1989-03-11,Little Liar,Joan Jett & the Blackhearts,19,84,20,98,-14,
1989-03-11,Shake For The Sheik,The Escape Club,28,87,14,98,-11,
1989-03-11,Tears Run Rings,Marc Almond,67,85,8,97,-12,
1989-03-11,The Great Commandment,Camouflage,59,93,12,96,-3,
1995-03-11,Bad Reputation,Freedy Johnston,54,79,12,91,-12,
1995-03-11,I Never Seen A Man Cry (aka I Seen A Man Die),Scarface,37,78,17,96,-18,
1995-03-11,"Turn The Beat Around (From ""The Specialist"")",Gloria Estefan,13,48,25,50,-2,
1995-03-11,Wild Night,John Mellencamp With Me'Shell Ndegeocello,3,49,42,49,0,
1979-03-10,Baby I'm Burnin',Dolly Parton,25,52,14,77,-25,
1979-03-10,Call Out My Name,Zwol,75,76,3,75,1,
1979-03-10,Don't Stop Me Now,Queen,86,86,4,97,-11,
1979-03-10,Every 1's A Winner,Hot Chocolate,6,51,18,79,-28,
1979-03-10,Love Struck,Stonebolt,70,70,5,98,-28,
1979-03-10,My Life,Billy Joel,3,73,19,93,-20,
1979-03-10,"Pops, We Love You (A Tribute To Father)","Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder",59,94,8,100,-6,
1979-03-10,Run Home Girl,Sad Cafe,71,95,9,92,3,
1979-03-10,September,"Earth, Wind & Fire",8,64,17,83,-19,
1979-03-10,Sinner Man,Sarah Dash,71,71,4,94,-23,
1979-03-10,Stormy,Santana,32,32,10,70,-38,
1979-03-10,The Man With The Child In His Eyes,Kate Bush,85,85,4,96,-11,
1979-03-10,This Is It,Dan Hartman,91,91,3,99,-8,
1979-03-10,Whole Lotta Love,The Wonder Band,87,87,2,87,0,
1979-03-10,You Can't Win (Part 1),Michael Jackson,81,81,3,95,-14,
1973-03-10,Control Of Me,Les Emmerson,51,51,9,55,-4,
1973-03-10,Do It Again,Steely Dan,6,14,17,24,-10,
1973-03-10,Dreidel,Don McLean,21,21,12,29,-8,
1973-03-10,Girl You Need A Change Of Mind (Part 1),Eddie Kendricks,87,90,3,87,3,
1973-03-10,I Got Ants In My Pants (and i want to dance) (Part 1),James Brown,27,27,8,41,-14,
1973-03-10,"Oh, Babe, What Would You Say?",Hurricane Smith,3,15,15,33,-18,
1973-03-10,Today I Started Loving You Again,Bettye Swann,46,47,7,46,1,
1973-03-10,We Did It,Syl Johnson,95,100,3,95,5,
1990-03-10,Blame It On The Rain,Milli Vanilli,1,78,23,90,-12,
1990-03-10,I Want You,Shana,40,85,23,94,-9,
1990-03-10,I'm Not Satisfied,Fine Young Cannibals,90,90,3,97,-7,
1990-03-10,Kickstart My Heart,Motley Crue,27,83,16,99,-16,
1990-03-10,Peace In Our Time,Eddie Money,11,65,15,81,-16,
1990-03-10,Swing The Mood,Jive Bunny & The Mastermixers,11,80,20,98,-18,
1990-03-10,Tender Lover,Babyface,14,77,17,89,-12,
1990-03-10,When The Night Comes,Joe Cocker,11,84,20,100,-16,
1984-03-10,Body Talk,The Deele,77,84,8,94,-10,
1984-03-10,Fields Of Fire,Big Country,52,52,6,82,-30,
1984-03-10,Flashes,Tiggi Clay,86,86,3,98,-12,
1984-03-10,For A Rocker,Jackson Browne,45,74,9,96,-22,
1984-03-10,Say Say Say,Paul McCartney And Michael Jackson,1,76,22,99,-23,
1984-03-10,The Dream,Irene Cara,37,87,14,97,-10,
1984-03-10,You Make My Heart Beat Faster,Kim Carnes,54,72,8,100,-28,
1974-03-09,Can This Be Real,Natural Four,31,35,10,50,-15,
1974-03-09,Get That Gasoline Blues,NRBQ,70,70,6,93,-23,
1974-03-09,I've Got To Use My Imagination,Gladys Knight And The Pips,4,37,16,41,-4,
1974-03-09,In The Mood,Bette Midler,51,54,7,57,-3,
1974-03-09,Jim Dandy,Black Oak Arkansas,25,39,13,48,-9,
1974-03-09,Midnight Rider,Gregg Allman,19,27,12,40,-13,
1974-03-09,Newsy Neighbors,First Choice,97,97,2,97,0,
1974-03-09,Stop To Start,Blue Magic,74,75,6,87,-12,
1974-03-09,What It Comes Down To,The Isley Brothers,55,55,11,64,-9,
1985-03-09,20/20,George Benson,48,92,13,94,-2,
1985-03-09,Cool It Now,New Edition,4,87,25,100,-13,
1985-03-09,Do What You Do,Jermaine Jackson,13,85,20,95,-10,
1985-03-09,Holyanna,Toto,71,88,5,99,-11,
1985-03-09,Jamie,Ray Parker Jr.,14,84,17,96,-12,
1985-03-09,Mistake No. 3,Culture Club,33,78,13,91,-13,
1985-03-09,One Foot Back In Your Door,Roman Holliday,76,95,5,98,-3,
1985-03-09,Run To You,Bryan Adams,6,74,19,92,-18,
1985-03-09,We Belong,Pat Benatar,5,90,20,97,-7,
1996-03-09,Dreaming Of You,Selena,22,56,20,61,-5,
1996-03-09,Everybody Be Somebody,Ruffneck Featuring Yavahn,82,92,7,96,-4,
1996-03-09,Free As A Bird,The Beatles,6,93,11,99,-6,
1996-03-09,Get Together,Big Mountain,44,90,13,100,-10,
1996-03-09,"I Miss You (Come Back Home) (From ""New York Undercover"")",Monifah,56,66,20,77,-11,
1996-03-09,Just Tah Let U Know,Eazy-E,45,86,12,97,-11,
1996-03-09,Not A Dry Eye In The House,Meat Loaf,82,82,4,98,-16,
1996-03-09,Only Wanna Be With You,Hootie & The Blowfish,6,46,32,49,-3,
1996-03-09,Roll To Me,Del Amitri,10,43,36,48,-5,
1996-03-09,We've Got It Goin' On,Backstreet Boys,69,89,20,95,-6,
1991-03-09,Because I Love You (The Postman Song),Stevie B,1,83,23,93,-10,
1991-03-09,Give It Up,ZZ Top,79,88,5,99,-11,
1991-03-09,House Full Of Reasons,Jude Cole,69,93,15,95,-2,
1991-03-09,I Don't Know Anybody Else,Black Box,23,70,14,92,-22,
1991-03-09,Love Takes Time,Mariah Carey,1,84,26,90,-6,
1991-03-09,Miles Away,Winger,12,74,22,96,-22,
1991-03-09,Night And Day,Bette Midler,62,63,7,82,-19,
1991-03-09,Power Of Love,Deee-Lite,47,62,10,85,-23,
1991-03-09,The Shoop Shoop Song (It's In His Kiss),Cher,33,77,16,91,-14,
1991-03-09,What's It Gonna Be,Jellybean Featuring Niki Haris,90,91,5,100,-9,
1991-03-09,When Will I See You Smile Again?,Bell Biv DeVoe,63,80,8,87,-7,
1980-03-08,Bad Times,Tavares,47,88,10,100,-12,
1980-03-08,Escape (The Pina Colada Song),Rupert Holmes,1,69,21,93,-24,
1980-03-08,Flirtin' With Disaster,Molly Hatchet,42,42,10,81,-39,
1980-03-08,I Wanna Be Your Lover,Prince,11,87,16,95,-8,
1980-03-08,Why Me,Styx,26,89,13,99,-10,
1980-03-08,You Might Need Somebody,Turley Richards,54,54,7,92,-38,
1975-03-08,#9 Dream,John Lennon,9,13,12,47,-34,
1975-03-08,Boogie On Reggae Woman,Stevie Wonder,3,35,17,50,-15,
1975-03-08,Don't Take Your Love,The Manhattans,37,43,10,61,-18,
1975-03-08,I Belong To You,Love Unlimited,27,60,15,85,-25,
1975-03-08,If Loving You Is Wrong I Don't Want To Be Right,Millie Jackson,42,42,7,69,-27,
1975-03-08,Look In My Eyes Pretty Woman,Tony Orlando & Dawn,11,32,12,60,-28,
1975-03-08,My Elusive Dreams,Charlie Rich,49,51,6,49,2,
1975-03-08,Smokin' Room,Carl Carlton,91,91,4,91,0,
1975-03-08,Some Kind Of Wonderful,Grand Funk,3,5,13,30,-25,
1975-03-08,Sweet Surrender,John Denver,13,29,11,44,-15,
1986-03-08,Caravan Of Love,"Isley, Jasper, Isley",51,83,14,84,-1,
1986-03-08,Everything In My Heart,Corey Hart,30,78,15,99,-21,
1986-03-08,Goodbye,Night Ranger,17,64,18,89,-25,
1986-03-08,Object Of My Desire,Starpoint,25,97,24,97,0,
1986-03-08,Pleasure And Pain,Divinyls,76,76,7,83,-7,
1986-03-08,Secret,Orchestral Manoeuvres In The Dark,63,80,13,100,-20,
1986-03-08,Stereotomy,The Alan Parsons Project,82,82,4,94,-12,
1986-03-08,The Super Bowl Shuffle,The Chicago Bears Shufflin' Crew,41,63,9,79,-16,
1997-03-08,"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",LL Cool J,46,89,11,94,-5,
1997-03-08,Hero Of The Day,Metallica,60,91,18,91,0,
1997-03-08,I Fell In Love,Rockell,61,92,18,96,-4,
1997-03-08,It's All Coming Back To Me Now,Celine Dion,2,35,30,45,-10,
1997-03-08,"Last Night (From ""The Nutty Professor"")",Az Yet,9,45,29,47,-2,
1997-03-08,Pony,Ginuwine,6,43,27,49,-6,
1997-03-08,This Is For The Lover In You,"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels",6,64,20,76,-12,
1997-03-08,Twisted,Keith Sweat,2,47,38,44,3,
1987-03-07,(I Know) I'm Losing You,Uptown,80,80,11,92,-12,
1987-03-07,Deep River Woman,Lionel Richie,71,77,8,94,-17,
1987-03-07,Hold Me,Colin James Hay,99,0,1,99,New,
1987-03-07,If I Say Yes,Five Star,67,87,11,100,-13,
1987-03-07,Power,Kansas,84,84,4,96,-12,
1987-03-07,This Is The Time,Billy Joel,18,64,17,98,-34,
1987-03-07,Without Your Love,Toto,38,52,11,90,-38,
1981-03-07,Cafe Amore,Spyro Gyra,77,84,5,99,-15,
1981-03-07,Don't You Know What Love Is,Touch,69,69,6,70,-1,
1981-03-07,Full Of Fire,Shalamar,55,81,12,95,-14,
1981-03-07,He Can't Love You,Michael Stanley Band,33,92,16,97,-5,
1981-03-07,Hungry Heart,Bruce Springsteen,5,61,18,85,-24,
1981-03-07,I Made It Through The Rain,Barry Manilow,10,58,16,84,-26,
1981-03-07,Love On The Airwaves,Night,87,87,3,100,-13,
1981-03-07,Tell It Like It Is,Heart,8,78,16,96,-18,
1981-03-07,Theme From Raging Bull (Cavalleria Rusticana),Joel Diamond,82,82,3,94,-12,
1998-03-07,I'm Afraid Of Americans,David Bowie,66,92,16,97,-5,
1998-03-07,Love Of My Life,Sammy Kershaw,85,85,5,100,-15,
1998-03-07,So Good,Davina,60,97,19,98,-1,
1998-03-07,Something That We Do,Clint Black,76,89,9,93,-4,
1998-03-07,Tubthumping,Chucklebutt,87,96,6,99,-3,
1998-03-07,You're Not Alone,Olive,56,84,20,85,-1,
1992-03-07,Cold Shower,Erin Cruise,90,99,7,100,-1,
1992-03-07,Forever My Lady,Jodeci,25,73,20,82,-9,
1992-03-07,Hearts Don't Think (They Feel),Natural Selection,28,63,14,83,-20,
1992-03-07,I Want You,Jody Watley,61,84,15,91,-7,
1992-03-07,I've Got A Lot To Learn About Love,The Storm,26,56,20,65,-9,
1992-03-07,Send Me An Angel,Scorpions,44,90,18,99,-9,
1992-03-07,Spending My Time,Roxette,32,86,20,90,-4,
1992-03-07,You're All That Matters To Me,Curtis Stigers,98,0,1,98,New,
1976-03-06,'til It's Time To Say Goodbye,Jonathan Cain,44,44,9,93,-49,
1976-03-06,Break Away,Art Garfunkel,39,52,11,51,1,
1976-03-06,Evil Woman,Electric Light Orchestra,10,26,17,44,-18,
1976-03-06,I Am Somebody,Jimmy James & The Vagabonds,94,96,3,94,2,
1976-03-06,January,Pilot,87,87,6,87,0,
1976-03-06,Lady Bump,Penny Mclean,48,48,10,78,-30,
1976-03-06,Paloma Blanca,George Baker Selection,26,41,15,68,-27,
1976-03-06,Renegade,Michael Murphey,39,39,7,64,-25,
1976-03-06,Somewhere In The Night,Helen Reddy,19,45,14,77,-32,
1971-03-06,Beginning To Feel The Pain,Mac Davis,92,92,2,98,-6,
1971-03-06,Bell Bottom Blues,Derek & The Dominos,91,91,2,91,0,
1971-03-06,Fresh As A Daisy,Emitt Rhodes,54,60,9,63,-3,
1971-03-06,God Bless Whoever Sent You,The Originals,53,59,12,62,-3,
1971-03-06,Groove Me,King Floyd,6,18,20,25,-7,
1971-03-06,He Called Me Baby,Candi Staton,52,67,10,76,-9,
1971-03-06,I'm So Proud,The Main Ingredient,49,52,13,52,0,
1971-03-06,If I Were Your Woman,Gladys Knight And The Pips,9,23,15,33,-10,
1971-03-06,It's Impossible,Perry Como,10,29,17,64,-35,
1971-03-06,Keep The Customer Satisfied,Gary Puckett,71,73,5,71,2,
1971-03-06,Let Your Love Go,Bread,28,42,10,47,-5,
1971-03-06,Lonely Days,Bee Gees,3,22,14,41,-19,
1971-03-06,One Man's Leftovers (Is Another Man's Feast),100 Proof Aged in Soul,96,96,2,96,0,
1971-03-06,Somebody's Watching You,Little Sister,32,51,13,54,-3,
1971-03-06,Super Highway,Ballin' Jack,93,100,4,93,7,
1971-03-06,Tulsa,Billy Joe Royal,86,88,3,86,2,
1971-03-06,We Gotta Get You A Woman,Runt,20,41,17,57,-16,
1971-03-06,When I'm Dead And Gone,McGuinness Flint,47,62,9,77,-15,
1971-03-06,Wild World,The Gentrys,97,97,2,97,0,
1982-03-06,Circle Of Love,The Steve Miller Band,55,84,7,98,-14,
1982-03-06,Crazy (Keep On Falling),The John Hall Band,42,67,11,97,-30,
1982-03-06,Here To Love You,The Doobie Brothers,65,65,5,85,-20,
1982-03-06,Wanna Be With You,"Earth, Wind & Fire",51,83,7,96,-13,
1982-03-06,Why You Wanna Try Me,Commodores,66,66,5,92,-26,
1982-03-06,You Can,Madleen Kane,77,77,5,99,-22,
1999-03-06,Angel In Disguise,Brandy,72,83,14,95,-12,
1999-03-06,Break Ups 2 Make Ups,Method Man Featuring D'Angelo,98,98,2,100,-2,
1999-03-06,From This Moment On,Shania Twain,4,48,14,47,1,
1999-03-06,Goodbye,Spice Girls,11,95,11,99,-4,
1999-03-06,I'll Be,Edwin McCain,5,49,24,46,3,
1999-03-06,Inside Out,Eve 6,28,45,14,50,-5,
1999-03-06,Iris,Goo Goo Dolls,9,41,14,45,-4,
1999-03-06,Pushin' Weight,Ice Cube Featuring Mr. Short Khop,26,92,19,97,-5,
1999-03-06,Silly Ho,TLC,59,91,9,93,-2,
1999-03-06,"Spirit Of A Boy, Wisdom Of A Man",Randy Travis,42,85,14,98,-13,
1999-03-06,There You Have It,BlackHawk,41,89,14,94,-5,
1999-03-06,Wrong Night,Reba,52,67,13,96,-29,
1993-03-06,Baby I'm For Real/Natural High,After 7,55,87,18,95,-8,
1993-03-06,Gangsta,Bell Biv DeVoe,21,93,17,96,-3,
1993-03-06,Get Up (Move Boy Move),AB Logic,83,97,11,99,-2,
1993-03-06,Happy Days,Silk,86,86,5,93,-7,
1993-03-06,Losin' Myself,Debbie Gibson,86,89,5,92,-3,
1993-03-06,Love's Taken Over,Chante Moore,86,96,11,98,-2,
1993-03-06,Punks Jump Up To Get Beat Down,Brand Nubian,77,92,10,97,-5,
1993-03-06,Stop The World,Extreme,95,95,3,100,-5,
1993-03-06,What About Your Friends,TLC,7,44,27,45,-1,
1977-03-05,Dance Little Lady Dance,Danny White,100,100,2,100,0,
1977-03-05,Fancy Dancer,Commodores,39,56,9,98,-42,
1977-03-05,Here Is Where Your Love Belongs,The Sons Of Champlin,80,80,5,85,-5,
1977-03-05,I Just Can't Say No To You,Parker McGee,42,42,7,44,-2,
1977-03-05,I'll Always Call Your Name,Little River Band,62,67,5,62,5,
1977-03-05,Reaching For The World,Harold Melvin And The Blue Notes,74,74,4,76,-2,
1977-03-05,Somebody To Love,Queen,13,49,15,59,-10,
1977-03-05,Sorry/That's The Trouble,Grace Jones,71,71,7,77,-6,
1977-03-05,Theme From King Kong (Pt. I),Love Unlimited Orchestra,68,68,7,68,0,
1977-03-05,Tonight's The Night (Gonna Be Alright),Rod Stewart,1,60,23,60,0,
1977-03-05,Too Hot To Stop (Pt. 1),The Bar-Kays,74,76,4,74,2,
1977-03-05,You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",1,45,26,58,-13,
1988-03-05,853-5937,Squeeze,32,43,12,83,-40,
1988-03-05,Crazy,Icehouse,14,75,21,92,-17,
1988-03-05,Don't You Want Me,Jody Watley,6,94,23,100,-6,
1988-03-05,Faith,George Michael,1,78,20,95,-17,
1988-03-05,Hot Hot Hot,Buster Poindexter & His Banshees Of Blue,45,84,13,97,-13,
1988-03-05,I Could Never Take The Place Of Your Man,Prince,10,55,17,86,-31,
1988-03-05,Rhythm Of Love,Yes,40,74,12,96,-22,
1988-03-05,So Emotional,Whitney Houston,1,76,19,99,-23,
1983-03-05,Bread And Butter,Robert John,68,68,4,68,0,
1983-03-05,Dirty Laundry,Don Henley,3,82,19,91,-9,
1983-03-05,Hand To Hold On To,John Cougar,19,85,18,93,-8,
1983-03-05,Heartbreaker,Dionne Warwick,10,93,22,100,-7,
1983-03-05,Little Thing Called Love,Neil Young,71,87,6,95,-8,
1983-03-05,Mickey,Toni Basil,1,88,27,96,-8,
1983-03-05,New Frontier,Donald Fagen,70,86,6,94,-8,
1983-03-05,The Girl Is Mine,Michael Jackson And Paul McCartney,2,91,18,97,-6,
1983-03-05,Too Much Love To Hide,"Crosby, Stills & Nash",69,69,6,74,-5,
1983-03-05,Voo Doo,Rachel Sweet,72,72,5,99,-27,
1983-03-05,Windows,Missing Persons,63,84,8,92,-8,
1994-03-05,(I Know I Got) Skillz,Shaquille O'Neal,35,84,20,98,-14,
1994-03-05,Award Tour,A Tribe Called Quest,47,74,18,76,-2,
1994-03-05,Jessie,Joshua Kadison,26,42,22,46,-4,
1994-03-05,John Deere Green,Joe Diffie,69,75,11,84,-9,
1994-03-05,Money In The Ghetto,Too $hort,90,90,3,99,-9,
1994-03-05,One On One,To Be Continued...,70,70,7,93,-23,
1994-03-05,Sex Me (Parts I & II),R. Kelly,20,72,19,94,-22,
1994-03-05,Time And Chance,Color Me Badd,23,71,19,91,-20,
1994-03-05,Tryin' To Get Over You,Vince Gill,88,88,2,95,-7,
2000-03-04,Freakin' It,Will Smith,99,99,4,99,0,
2000-03-04,Got Your Money,Ol' Dirty Bastard Featuring Kelis,33,57,20,56,1,
2000-03-04,He Didn't Have To Be,Brad Paisley,30,68,20,67,1,
2000-03-04,Learn To Fly,Foo Fighters,19,42,21,50,-8,
2000-03-04,U Know What's Up,Donell Jones,7,41,24,45,-4,
1978-03-04,Cocomotion,El Coco,44,83,15,99,-16,
1978-03-04,Come Go With Me,Pockets,84,96,9,93,3,
1978-03-04,Desiree,Neil Diamond,16,41,14,65,-24,
1978-03-04,Galaxy,War,39,53,9,68,-15,
1978-03-04,I Can't Hold On,Karla Bonoff,76,82,4,76,6,
1978-03-04,Le Spank,Le Pamplemousse,58,58,15,69,-11,
1978-03-04,Rockaway Beach,Ramones,66,100,14,100,0,
1978-03-04,Street Corner Serenade,Wet Willie,30,48,14,67,-19,
1978-03-04,Too Hot Ta Trot,Commodores,24,37,12,64,-27,
1978-03-04,You Brought The Woman Out Of Me,Hot,71,75,5,71,4,
1972-03-04,Anticipation,Carly Simon,13,19,13,24,-5,
1972-03-04,Country Wine,The Raiders,51,54,6,66,-12,
1972-03-04,Da Doo Ron Ron (When He Walked Me Home),Ian Matthews,96,96,3,96,0,
1972-03-04,Day After Day,Badfinger,4,17,14,26,-9,
1972-03-04,Feeling Alright,Joe Cocker,33,37,15,54,-17,
1972-03-04,Fire And Water,Wilson Pickett,24,28,11,32,-4,
1972-03-04,It's Four In The Morning,Faron Young,92,92,4,92,0,
1972-03-04,Kiss An Angel Good Mornin',Charley Pride,21,40,16,49,-9,
1972-03-04,Standing In For Jody,Johnnie Taylor (The Soul Philosopher),74,75,7,74,1,
1972-03-04,Stay With Me,Faces,17,20,10,34,-14,
1972-03-04,That's The Way I Feel About Cha,Bobby Womack & Peace,27,42,13,51,-9,
1972-03-04,Together Let's Find Love,The 5th Dimension,37,55,10,56,-1,
1989-03-04,As Long As You Follow,Fleetwood Mac,43,90,14,98,-8,
1989-03-04,Cross My Heart,Eighth Wonder,56,83,16,96,-13,
1989-03-04,Imagine,Tracie Spencer,85,87,4,94,-7,
1989-03-04,It's No Secret,Kylie Minogue,37,64,13,100,-36,
1989-03-04,Look Away,Chicago,1,74,24,99,-25,
1995-03-04,(I Could Only) Whisper Your Name,"Harry Connick, Jr.",67,91,20,96,-5,
1995-03-04,Age Ain't Nothing But A Number,Aaliyah,75,75,8,95,-20,
1995-03-04,Breakdown,Fu-Schnickens,67,82,20,94,-12,
1995-03-04,I'll Stand By You,Pretenders,16,40,30,45,-5,
1995-03-04,Living In Danger,Ace Of Base,20,80,20,91,-11,
1995-03-04,Secret,Madonna,3,42,22,50,-8,
1995-03-04,"Shame (From ""A Low Down Dirty Shame"")",Zhane,28,85,15,97,-12,
1995-03-04,Supa Star,Group Home,85,95,5,99,-4,
1995-03-04,Take You There,Pete Rock & C.L. Smooth,76,81,5,100,-19,
1979-03-03,Aqua Boogie (A Psychoalphadiscobetabioaquadoloop),Parliament,89,89,2,89,0,
1979-03-03,Get Down,Gene Chandler,53,54,9,99,-45,
1979-03-03,I Go To Rio,Pablo Cruise,46,46,8,97,-51,
1979-03-03,New York Groove,Ace Frehley,13,61,21,100,-39,
1979-03-03,You Can Do It,Dobie Gray,37,42,11,96,-54,
1979-03-03,You Stepped Into My Life,Melba Moore,47,47,7,98,-51,
1973-03-03,Good Morning,Michael Redway,85,88,4,85,3,
1973-03-03,How Can I Tell You,Travis Wammack,68,71,7,68,3,
1973-03-03,"Living Together, Growing Together",The 5th Dimension,32,32,9,37,-5,
1973-03-03,Love Jones,Brighter Side Of Darkness,16,23,13,53,-30,
1973-03-03,Love Music,The Raiders,97,97,5,97,0,
1973-03-03,Palace Guard,Rick Nelson And The Stone Canyon Band,65,65,5,76,-11,
1973-03-03,Superstition,Stevie Wonder,1,17,16,29,-12,
1973-03-03,The World Is A Ghetto,War,7,20,16,43,-23,
1973-03-03,Trouble Man,Marvin Gaye,7,25,12,62,-37,
1973-03-03,Why Can't We Live Together,Timmy Thomas,3,14,15,25,-11,
1990-03-03,01/02/2003,The Chimes,86,87,5,100,-13,
1990-03-03,Another Day In Paradise,Phil Collins,1,65,18,86,-21,
1990-03-03,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,18,80,16,93,-13,
1990-03-03,Love Shack,The B-52s,3,86,27,96,-10,
1990-03-03,Rhythm Nation,Janet Jackson,2,93,17,99,-6,
1990-03-03,That's What I Like,Jive Bunny & The Mastermixers,69,74,5,91,-17,
1990-03-03,Wait For You,Bonham,55,94,15,97,-3,
1990-03-03,Walk On By,Sybil,74,77,6,94,-17,
1990-03-03,Woman In Chains,Tears For Fears,36,78,14,98,-20,
1984-03-03,Baby I Lied,Deborah Allen,26,64,21,97,-33,
1984-03-03,Breaking Up Is Hard On You,The American Comedy Network,70,70,5,78,-8,
1984-03-03,Each Word's A Beat Of My Heart,Mink De Ville,89,89,4,91,-2,
1984-03-03,It's Gonna Be Special,Patti Austin,82,82,4,92,-10,
1984-03-03,Nightbird,Stevie Nicks,33,65,12,100,-35,
1984-03-03,Remember What You Like,Jenny Burton,81,81,6,81,0,
1984-03-03,Stay With Me Tonight,Jeffrey Osborne,30,76,21,98,-22,
1984-03-03,The Curly Shuffle,Jump 'n The Saddle,15,78,14,99,-21,
1984-03-03,Time Will Reveal,Debarge,18,62,21,96,-34,
