title,artist,peakPos,rank
I Belong To You,Love Unlimited,27,85
If Loving You Is Wrong I Don't Want To Be Right,Millie Jackson,42,69
Look In My Eyes Pretty Woman,Tony Orlando & Dawn,11,60
My Elusive Dreams,Charlie Rich,49,49
Smokin' Room,Carl Carlton,91,91
Some Kind Of Wonderful,Grand Funk,3,30
Sweet Surrender,John Denver,13,44
Caravan Of Love,"Isley, Jasper, Isley",51,84
Everything In My Heart,Corey Hart,30,99
Goodbye,Night Ranger,17,89
Object Of My Desire,Starpoint,25,97
Pleasure And Pain,Divinyls,76,83
Secret,Orchestral Manoeuvres In The Dark,63,100
Stereotomy,The Alan Parsons Project,82,94
The Super Bowl Shuffle,The Chicago Bears Shufflin' Crew,41,79
"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",LL Cool J,46,94
Hero Of The Day,Metallica,60,91
I Fell In Love,Rockell,61,96
It's All Coming Back To Me Now,Celine Dion,2,45
"Last Night (From ""The Nutty Professor"")",Az Yet,9,47
Pony,Ginuwine,6,49
This Is For The Lover In You,"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels",6,76
Twisted,Keith Sweat,2,44
(I Know) I'm Losing You,Uptown,80,92
Deep River Woman,Lionel Richie,71,94
Hold Me,Colin James Hay,99,99
If I Say Yes,Five Star,67,100
Power,Kansas,84,96
This Is The Time,Billy Joel,18,98
Without Your Love,Toto,38,90
Cafe Amore,Spyro Gyra,77,99
Don't You Know What Love Is,Touch,69,70
Full Of Fire,Shalamar,55,95
He Can't Love You,Michael Stanley Band,33,97
Hungry Heart,Bruce Springsteen,5,85
I Made It Through The Rain,Barry Manilow,10,84
Love On The Airwaves,Night,87,100
Tell It Like It Is,Heart,8,96
Theme From Raging Bull (Cavalleria Rusticana),Joel Diamond,82,94
I'm Afraid Of Americans,David Bowie,66,97
Love Of My Life,Sammy Kershaw,85,100
So Good,Davina,60,98
Something That We Do,Clint Black,76,93
Tubthumping,Chucklebutt,87,99
You're Not Alone,Olive,56,85
Cold Shower,Erin Cruise,90,100
Forever My Lady,Jodeci,25,82
Hearts Don't Think (They Feel),Natural Selection,28,83
I Want You,Jody Watley,61,91
I've Got A Lot To Learn About Love,The Storm,26,65
Send Me An Angel,Scorpions,44,99
Spending My Time,Roxette,32,90
You're All That Matters To Me,Curtis Stigers,98,98
'til It's Time To Say Goodbye,Jonathan Cain,44,93
Break Away,Art Garfunkel,39,51
Evil Woman,Electric Light Orchestra,10,44
I Am Somebody,Jimmy James & The Vagabonds,94,94
January,Pilot,87,87
Lady Bump,Penny Mclean,48,78
Paloma Blanca,George Baker Selection,26,68
Renegade,Michael Murphey,39,64
Somewhere In The Night,Helen Reddy,19,77
Beginning To Feel The Pain,Mac Davis,92,98
Bell Bottom Blues,Derek & The Dominos,91,91
Fresh As A Daisy,Emitt Rhodes,54,63
God Bless Whoever Sent You,The Originals,53,62
Groove Me,King Floyd,6,25
He Called Me Baby,Candi Staton,52,76
I'm So Proud,The Main Ingredient,49,52
If I Were Your Woman,Gladys Knight And The Pips,9,33
It's Impossible,Perry Como,10,64
Keep The Customer Satisfied,Gary Puckett,71,71
Let Your Love Go,Bread,28,47
Lonely Days,Bee Gees,3,41
One Man's Leftovers (Is Another Man's Feast),100 Proof Aged in Soul,96,96
Somebody's Watching You,Little Sister,32,54
Super Highway,Ballin' Jack,93,93
Tulsa,Billy Joe Royal,86,86
We Gotta Get You A Woman,Runt,20,57
When I'm Dead And Gone,McGuinness Flint,47,77
Wild World,The Gentrys,97,97
Circle Of Love,The Steve Miller Band,55,98
Crazy (Keep On Falling),The John Hall Band,42,97
Here To Love You,The Doobie Brothers,65,85
Wanna Be With You,"Earth, Wind & Fire",51,96
Why You Wanna Try Me,Commodores,66,92
You Can,Madleen Kane,77,99
Angel In Disguise,Brandy,72,95
Break Ups 2 Make Ups,Method Man Featuring D'Angelo,98,100
From This Moment On,Shania Twain,4,47
Goodbye,Spice Girls,11,99
I'll Be,Edwin McCain,5,46
Inside Out,Eve 6,28,50
Iris,Goo Goo Dolls,9,45
Pushin' Weight,Ice Cube Featuring Mr. Short Khop,26,97
Silly Ho,TLC,59,93
"Spirit Of A Boy, Wisdom Of A Man",Randy Travis,42,98
There You Have It,BlackHawk,41,94
Wrong Night,Reba,52,96
Baby I'm For Real/Natural High,After 7,55,95
Gangsta,Bell Biv DeVoe,21,96
Get Up (Move Boy Move),AB Logic,83,99
Happy Days,Silk,86,93
Losin' Myself,Debbie Gibson,86,92
Love's Taken Over,Chante Moore,86,98
Punks Jump Up To Get Beat Down,Brand Nubian,77,97
Stop The World,Extreme,95,100
What About Your Friends,TLC,7,45
Dance Little Lady Dance,Danny White,100,100
Fancy Dancer,Commodores,39,98
Here Is Where Your Love Belongs,The Sons Of Champlin,80,85
I Just Can't Say No To You,Parker McGee,42,44
I'll Always Call Your Name,Little River Band,62,62
Reaching For The World,Harold Melvin And The Blue Notes,74,76
Somebody To Love,Queen,13,59
Sorry/That's The Trouble,Grace Jones,71,77
Theme From King Kong (Pt. I),Love Unlimited Orchestra,68,68
Tonight's The Night (Gonna Be Alright),Rod Stewart,1,60
Too Hot To Stop (Pt. 1),The Bar-Kays,74,74
You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",1,58
853-5937,Squeeze,32,83
Crazy,Icehouse,14,92
Don't You Want Me,Jody Watley,6,100
Faith,George Michael,1,95
Hot Hot Hot,Buster Poindexter & His Banshees Of Blue,45,97
I Could Never Take The Place Of Your Man,Prince,10,86
Rhythm Of Love,Yes,40,96
So Emotional,Whitney Houston,1,99
Bread And Butter,Robert John,68,68
Dirty Laundry,Don Henley,3,91
Hand To Hold On To,John Cougar,19,93
Heartbreaker,Dionne Warwick,10,100
Little Thing Called Love,Neil Young,71,95
Mickey,Toni Basil,1,96
New Frontier,Donald Fagen,70,94
The Girl Is Mine,Michael Jackson And Paul McCartney,2,97
Too Much Love To Hide,"Crosby, Stills & Nash",69,74
Voo Doo,Rachel Sweet,72,99
Windows,Missing Persons,63,92
(I Know I Got) Skillz,Shaquille O'Neal,35,98
Award Tour,A Tribe Called Quest,47,76
Jessie,Joshua Kadison,26,46
John Deere Green,Joe Diffie,69,84
Money In The Ghetto,Too $hort,90,99
One On One,To Be Continued...,70,93
Sex Me (Parts I & II),R. Kelly,20,94
Time And Chance,Color Me Badd,23,91
Tryin' To Get Over You,Vince Gill,88,95
Freakin' It,Will Smith,99,99
Got Your Money,Ol' Dirty Bastard Featuring Kelis,33,56
He Didn't Have To Be,Brad Paisley,30,67
Learn To Fly,Foo Fighters,19,50
U Know What's Up,Donell Jones,7,45
Cocomotion,El Coco,44,99
Come Go With Me,Pockets,84,93
Desiree,Neil Diamond,16,65
Galaxy,War,39,68
I Can't Hold On,Karla Bonoff,76,76
Le Spank,Le Pamplemousse,58,69
Rockaway Beach,Ramones,66,100
Street Corner Serenade,Wet Willie,30,67
Too Hot Ta Trot,Commodores,24,64
You Brought The Woman Out Of Me,Hot,71,71
Anticipation,Carly Simon,13,24
Country Wine,The Raiders,51,66
Da Doo Ron Ron (When He Walked Me Home),Ian Matthews,96,96
Day After Day,Badfinger,4,26
Feeling Alright,Joe Cocker,33,54
Fire And Water,Wilson Pickett,24,32
It's Four In The Morning,Faron Young,92,92
Kiss An Angel Good Mornin',Charley Pride,21,49
Standing In For Jody,Johnnie Taylor (The Soul Philosopher),74,74
Stay With Me,Faces,17,34
That's The Way I Feel About Cha,Bobby Womack & Peace,27,51
Together Let's Find Love,The 5th Dimension,37,56
As Long As You Follow,Fleetwood Mac,43,98
Cross My Heart,Eighth Wonder,56,96
Imagine,Tracie Spencer,85,94
It's No Secret,Kylie Minogue,37,100
Look Away,Chicago,1,99
(I Could Only) Whisper Your Name,"Harry Connick, Jr.",67,96
Age Ain't Nothing But A Number,Aaliyah,75,95
Breakdown,Fu-Schnickens,67,94
I'll Stand By You,Pretenders,16,45
Living In Danger,Ace Of Base,20,91
Secret,Madonna,3,50
"Shame (From ""A Low Down Dirty Shame"")",Zhane,28,97
Supa Star,Group Home,85,99
Take You There,Pete Rock & C.L. Smooth,76,100
Aqua Boogie (A Psychoalphadiscobetabioaquadoloop),Parliament,89,89
Get Down,Gene Chandler,53,99
I Go To Rio,Pablo Cruise,46,97
New York Groove,Ace Frehley,13,100
You Can Do It,Dobie Gray,37,96
You Stepped Into My Life,Melba Moore,47,98
Good Morning,Michael Redway,85,85
How Can I Tell You,Travis Wammack,68,68
"Living Together, Growing Together",The 5th Dimension,32,37
Love Jones,Brighter Side Of Darkness,16,53
Love Music,The Raiders,97,97
Palace Guard,Rick Nelson And The Stone Canyon Band,65,76
Superstition,Stevie Wonder,1,29
The World Is A Ghetto,War,7,43
Trouble Man,Marvin Gaye,7,62
Why Can't We Live Together,Timmy Thomas,3,25
01/02/2003,The Chimes,86,100
Another Day In Paradise,Phil Collins,1,86
I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,18,93
Love Shack,The B-52s,3,96
Rhythm Nation,Janet Jackson,2,99
That's What I Like,Jive Bunny & The Mastermixers,69,91
Wait For You,Bonham,55,97
Walk On By,Sybil,74,94
Woman In Chains,Tears For Fears,36,98
Baby I Lied,Deborah Allen,26,97
Breaking Up Is Hard On You,The American Comedy Network,70,78
Each Word's A Beat Of My Heart,Mink De Ville,89,91
It's Gonna Be Special,Patti Austin,82,92
Nightbird,Stevie Nicks,33,100
Remember What You Like,Jenny Burton,81,81
Stay With Me Tonight,Jeffrey Osborne,30,98
The Curly Shuffle,Jump 'n The Saddle,15,99
Time Will Reveal,Debarge,18,96
Twist Of Fate,Olivia Newton-John,5,94
A Mother For My Children,The Whispers,92,96
Baby Come Close,Smokey Robinson,27,43
I Miss You,The Dells,60,61
Living For The City,Stevie Wonder,8,42
Smokin' In The Boy's Room,Brownsville Station,3,40
The Joker,The Steve Miller Band,1,31
Try (Try To Fall In Love),Cooker,88,98
What Is Hip?,Tower Of Power,91,91
You Sure Love To Ball,Marvin Gaye,50,53
Bongo Bongo,Steve Miller,84,96
Born In The USA,Bruce Springsteen,9,79
Go For It,Kim Wilde,65,97
Gotta Get You Home Tonight,Eugene Wilde,83,98
I Feel For You,Chaka Khan,3,99
Out Of Touch,Daryl Hall John Oates,1,100
The Wild Boys,Duran Duran,2,94
Back For Good,Take That,7,48
Carnival,Natalie Merchant,10,44
Cruisin',D'Angelo,53,94
East 1999,Bone Thugs-N-Harmony,62,99
Hooked On You,Silk,54,95
I'd Lie For You (And That's The Truth),Meat Loaf,13,96
Microphone Master,Das EFX (Featuring Mobb Deep),86,100
Throw Your Hands Up,L.V.,63,98
When Love & Hate Collide,Def Leppard,58,97
Candy,Iggy Pop With Kate Pierson,28,90
For You,The Outfield,21,94
How Can You Expect To Be Taken Seriously?,Pet Shop Boys,93,100
Justify My Love,Madonna,1,86
Remember My Name,House Of Lords,72,97
Shelter Me,Cinderella,36,87
Still Got The Blues,Gary Moore,97,99
The Way You Do The Things You Do,UB40,6,85
Who Said I Would,Phil Collins,73,95
Wiggle It,2 In A Room,15,92
Do You Love What You Feel,Rufus And Chaka Khan,30,98
I Don't Like Mondays,The Boomtown Rats,73,92
I Don't Want To Talk About It,Rod Stewart,46,100
Lost Her In The Sun,John Stewart,34,97
Send One Your Love,Stevie Wonder,4,95
Small Paradise,John Cougar,87,96
Voice Of Freedom,Jim Kirk And The Tm Singers,71,93
Wait For Me,Daryl Hall John Oates,18,99
We Don't Talk Anymore,Cliff Richard,7,94
Big Yellow Taxi,Joni Mitchell,24,72
Future Shock,Hello People,71,80
Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,10,57
Isn't It Lonely Together,Stark & McBrien,85,97
It's All Right,Jim Capaldi,55,55
Junior's Farm/Sally G,Paul McCartney And Wings,3,64
Laughter In The Rain,Neil Sedaka,1,61
Lucy In The Sky With Diamonds,Elton John,1,71
Mandy,Barry Manilow,1,66
Morning Side Of The Mountain,Donny & Marie Osmond,8,81
Star On A TV Show,The Stylistics,47,68
Alive & Kicking,Simple Minds,3,86
Everybody Dance,Ta Mara & The Seen,24,91
One Sunny Day (From Quicksilver),"Ray Parker,Jr. & Helen Terry",96,100
Party All The Time,Eddie Murphy,2,79
Small Town,John Mellencamp,6,84
Strength,The Alarm,61,99
Wood Beez (Pray Like Aretha Franklin),Scritti Politti,91,98
You're A Friend Of Mine,Clarence Clemons & Jackson Browne,18,85
Counting Blue Cars,Dishwalla,15,48
Drop Dead Gorgeous,Republica,93,100
Electrolite,R.E.M.,96,99
Street Dreams,Nas,22,96
You Don't Have To Love Me,Monifah,82,94
"4, 5, 6",Sole Featuring JT Money & Kandi,21,94
Home To You,John Michael Montgomery,45,90
L.A. Song,Beth Hart,90,97
"Live, Laugh, Love",Clay Walker,74,98
N 2 Gether Now,Limp Bizkit Featuring Method Man,73,96
Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,72,95
The Chemicals Between Us,Bush,67,93
"Tricky, Tricky",Lou Bega,74,87
Where My Girls At?,702,4,48
"Darlin' Darlin' Baby (Sweet, Tender, Love)",The O'Jays,72,92
Hail! Hail! Rock And Roll!,Starland Vocal Band,71,94
Hey Baby,Ringo Starr,74,74
I Never Cry,Alice Cooper,12,51
It Keeps You Runnin',The Doobie Brothers,37,83
Love To The World,L.T.D.,91,91
Shakey Ground,Phoebe Snow,70,70
Someone To Lay Down Beside Me,Linda Ronstadt,42,58
Sorry Seems To Be The Hardest Word,Elton John,6,79
Spend Some Time,Elvin Bishop Featuring Mickey Thomas,93,100
You've Got Me Runnin',Gene Cotton,33,49
Baby Won't You Let Me Rock 'N Roll You,Ten Years After,61,74
Daisy Mae,"Hamilton, Joe Frank & Reynolds",41,57
Get Out Of Bed,Livingston Taylor,97,97
I'd Like To Teach The World To Sing (In Perfect Harmony),The Hillside Singers,13,36
I'd Like To Teach The World To Sing (In Perfect Harmony),The New Seekers,7,31
Pain (Part I),Ohio Players,64,70
Sugar Daddy,Jackson 5,10,32
Sweet Baby,Donnie Elbert,92,92
The Harder I Try (The Bluer I Get),Free Movement,50,58
Under My Wheels,Alice Cooper,59,60
Feet Don't Fail Me Now,Utopia,82,91
Put It In A Magazine,Sonny Charles,40,85
Two Less Lonely People In The World,Air Supply,38,95
What If (I Said I Love You),Unipop,71,89
Fast As You,Dwight Yoakam,70,97
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1,50
Into Your Arms,The Lemonheads,67,100
Sentimental,Kenny G,72,99
True Love,Elton John & Kiki Dee,56,98
Blue Bayou,Linda Ronstadt,3,98
Crazy On You,Heart,35,100
Easy To Love,Leo Sayer,36,57
Point Of Know Return,Kansas,28,99
Reach For It,George Duke,54,96
Runaround Sue,Leif Garrett,13,95
Sentimental Lady,Bob Welch,8,67
You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy,12,97
Back On Holiday,Robbie Nevil,34,94
Finish What Ya Started,Van Halen,13,99
Kiss,The Art Of Noise Featuring Tom Jones,31,86
Left To My Own Devices,Pet Shop Boys,84,98
Not Just Another Girl,Ivan Neville,26,100
Posse On Broadway,Sir Mix-A-Lot,70,95
Welcome To The Jungle,Guns N' Roses,7,97
Church Of The Poison Mind,Culture Club,10,100
I Will Follow,U2,81,91
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1,97
Remember The Night,The Motels,36,54
Something's On Your Mind,D Train,79,99
Sweetheart Like You,Bob Dylan,55,93
Undercover Of The Night,The Rolling Stones,9,98
Black Coffee,Heavy D & The Boyz,57,99
Blind Man,Aerosmith,48,98
"December 1963 (Oh, What A Night)",The 4 Seasons,14,48
Don't Say Goodbye Girl,Tevin Campbell,71,97
Fa All Y'all,Da Brat,37,96
Playaz Club,Rappin' 4-Tay,36,50
Redneck Stomp,Jeff Foxworthy,75,100
Something's Always Wrong,Toad The Wet Sprocket,41,82
(Our Love) Don't Throw It All Away,Andy Gibb,9,98
A Little Lovin' (Keeps The Doctor Away),The Raes,61,61
Dancin' Shoes,Faith Band,54,99
I Don't Wanna Lose You,Daryl Hall John Oates,42,95
Not Fade Away,Tanya Tucker,70,100
One Last Kiss,The J. Geils Band,35,94
Promises,Eric Clapton And His Band,9,92
Sharing The Night Together,Dr. Hook,6,96
You Need A Woman Tonight,Captain & Tennille,40,97
Clair,Gilbert O'Sullivan,2,28
Come Softly To Me,The New Seekers,95,96
Don't Leave Me Starvin' For Your Love (Part 1),Holland-Dozier,52,52
Don't Let Me Be Lonely Tonight,James Taylor,14,35
Fever/My Crew,Rita Coolidge,76,79
Funny Face,Donna Fargo,5,39
I Never Said Goodbye,Engelbert Humperdinck,61,69
I'll Be Your Shelter (In Time Of Storm),Luther Ingram,40,55
Lucky Man,"Emerson, Lake & Palmer",48,59
Rockin' Pneumonia - Boogie Woogie Flu,Johnny Rivers,6,32
Smoke Gets In Your Eyes,Blue Haze,27,47
Songman,Cashman & West,59,62
Sugar Magnolia,Grateful Dead,91,91
We're Gonna Have A Good Time,Rare Earth,93,93
Don't Close Your Eyes,KIX,11,89
Don't Take It Personal,Jermaine Jackson,64,96
Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),52,98
Figure Of Eight,Paul McCartney,92,99
Living In Sin,Bon Jovi,9,100
Never 2 Much Of U,Dino,61,88
Over And Over,Pajama Party,59,86
"Timeless Love (From ""Shocker"")",Saraya,85,95
When I See You Smile,Bad English,1,85
(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain,74,93
Boom Boom Boom,The Outhere Brothers,65,81
Daughter/Yellow Ledbetter,Pearl Jam,97,99
I Remember,Boyz II Men,46,97
I'll Be There For You/This House Is Not A Home,The Rembrandts,17,63
Incarcerated Scarfaces/Ice Cream,Raekwon,37,100
Rosealia,Better Than Ezra,71,98
Throw Your Set In The Air,Cypress Hill,45,95
Babe,Styx,1,96
Dig The Gold,Joyce Cobb,42,75
Dirty Water,The Inmates,51,97
Glide,Pleasure,55,93
Head Games,Foreigner,14,99
Holdin' On For Dear Love,Lobo,75,91
I Call Your Name,Switch,83,98
I'm Alive,Gamma,60,100
Jane,Jefferson Starship,14,78
Memorize Your Number,Leif Garrett,60,95
Rotation,Herb Alpert,30,94
Still,Commodores,1,92
Flashback,The 5th Dimension,82,97
If You're Ready (Come Go With Me),The Staple Singers,9,68
Love Has No Pride,Linda Ronstadt,51,74
Raised On Robbery,Joni Mitchell,65,76
Sister Mary Elephant (Shudd-Up!),Cheech & Chong,24,61
Stoned To The Bone - Part 1,James Brown,58,79
This Time I'm Gone For Good,"Bobby ""Blue"" Bland",42,73
Walk Like A Man,Grand Funk,19,57
Wang Dang Doodle,The Pointer Sisters,61,77
All Through The Night,Cyndi Lauper,5,96
Bruce,Rick Springfield,27,93
Centipede,Rebbie Jackson,24,98
I Just Called To Say I Love You,Stevie Wonder,1,99
Lonely School,Tommy Shaw,60,95
No More Lonely Nights,Paul McCartney,6,97
Strut,Sheena Easton,7,100
Does She Love That Man?,Breathe Featuring David Glasper,34,87
Freedom,George Michael,8,96
Gentle,Dino,31,97
"Miracle (From ""Young Guns II"")",Jon Bon Jovi,12,92
More Than Words Can Say,Alias,2,94
One And Only Man,Steve Winwood,18,99
You're Amazing,Robert Palmer,28,100
Angie Baby,Helen Reddy,1,61
Cat's In The Cradle,Harry Chapin,1,70
I Am I Am,Smokey Robinson,56,75
Kung Fu Fighting,Carl Douglas,1,60
Only You,Ringo Starr,6,56
Ready,Cat Stevens,26,46
Ride 'em Cowboy,Paul Davis,23,63
"You're The First, The Last, My Everything",Barry White,2,54
Count Me Out,New Edition,51,90
Don't Say No Tonight,Eugene Wilde,76,87
Election Day,Arcadia,6,89
Emergency,Kool & The Gang,18,81
I Need You,Maurice White,95,95
One Vision,Queen,61,96
Prove Me Wrong,David Pack,95,98
Sleeping Bag,ZZ Top,8,82
The Big Money,Rush,45,100
To Live And Die In L.A.,Wang Chung,41,99
At Night I Pray,Wild Orchid,63,97
Birmingham,Amanda Marshall,43,93
"Bohemian Rhapsody (From ""High School High"")",The Braids,42,87
Bow Down,Westside Connection,21,65
Dance Into The Light,Phil Collins,45,99
Key West Intermezzo (I Saw You First),John Mellencamp,14,46
Macarena (Bayside Boys Mix),Los Del Rio,1,44
One And One,Robert Miles Featuring Maria Nayler,54,100
A Day In My Life (Without You),Lisette Melendez,49,94
Cream,Prince And The N.P.G.,1,67
I'll Take You There,BeBe & CeCe Winans Featuring Mavis Staples,90,99
Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,50,100
That's What Love Is For,Amy Grant,7,36
Whispers,Corina,51,83
Amazing Grace (used To Be Her Favorite Song),Amazing Rhythm Aces,72,72
Country Boy (You Got Your Feet In L.A.),Glen Campbell,11,56
Disco Sax/for The Love Of You,Houston Person,91,91
Honey I,George McCrae,65,65
Hurricane (Part 1),Bob Dylan,33,70
Make Love To Your Mind,Bill Withers,76,76
Once You Hit The Road,Dionne Warwick,79,79
One Fine Day,Julie,93,95
Over My Head,Fleetwood Mac,20,58
Tenth Avenue Freeze-out,Bruce Springsteen,83,83
That's The Way (I Like It),KC And The Sunshine Band,1,81
Yesterday's Hero,John Paul Young,42,59
A Trick Of The Night,Bananarama,76,94
Crazay,Jesse Johnson (Featuring Sly Stone),53,97
Don't Get Me Wrong,Pretenders,10,77
Love Is Forever,Billy Ocean,16,83
Suburbia,Pet Shop Boys,70,85
"The Future's So Bright, I Gotta Wear Shades",Timbuk 3,19,100
The Next Time I Fall,Peter Cetera With Amy Grant,1,82
True To You,Ric Ocasek,75,98
Two People,Tina Turner,30,99
War,Bruce Springsteen,8,71
Dreaming,Cliff Richard,10,99
I Believe In You,Don Williams,24,91
I'm Coming Out,Diana Ross,5,95
Need Your Loving Tonight,Queen,44,94
Remote Control,The Reddings,89,100
Teacher Teacher,Rockpile,51,96
You,"Earth, Wind & Fire",48,97
You've Lost That Lovin' Feeling,Daryl Hall John Oates,12,83
4 Seasons Of Loneliness,Boyz II Men,1,44
Butta Love,Next,16,43
Don't Go,Le Click Featuring Kayo,62,97
Everything,Mary J. Blige,24,69
In Harm's Way,BeBe Winans,83,98
Man Behind The Music,Queen Pen Featuring Teddy Riley,84,96
Much Better,Club 69 Featuring Suzanne Palmer,95,100
Spin Spin Sugar,Sneaker Pimps,87,99
Still Waters (Run Deep),Bee Gees,57,90
What About Us,Total,16,50
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield,29,53
Black Magic Woman,Santana,4,24
Fly Little White Dove Fly,The Bells,95,99
For The Good Times,Ray Price,11,28
Games,Redeye,27,38
I Dig Everything About You,The Mob,83,83
Mixed Up Guy,Joey Scarbury,73,80
Pay To The Piper,Chairman Of The Board,13,37
Stoned Love,The Supremes,7,26
Stop The War Now,Edwin Starr,26,52
They Can't Take Away Our Music,Eric Burdon And War,50,62
We'll Have It Made,The Spinners,89,89
Burning Like A Flame,Dokken,72,94
I Think We're Alone Now,Tiffany,1,100
In My Dreams,REO Speedwagon,19,98
Love Will Find A Way,Yes,30,97
Rain In The Summertime,The Alarm,71,91
Stimulation,Wa Wa Nee,86,95
We'll Be Together,Sting,7,96
You And Me Tonight,Deja,54,99
A World Without Heroes,KISS,56,96
Breakin' Away,Al Jarreau,43,87
Could It Be Love,Jennifer Warnes,47,93
Feel Like A Number,Bob Seger & The Silver Bullet Band,48,94
Here I Am (Just When I Thought I Was Over You),Air Supply,5,100
It's My Party,Dave Stewart and Barbara Gaskin,72,72
More Than Just The Two Of Us,Sneaker,34,97
Oh No,Commodores,4,85
Seasons Of Gold,Gidea Park featuring Adrian Baker,82,92
Take My Heart (You Can Have It If You Want It),Kool & The Gang,17,83
Another Way,Tevin Campbell,100,100
It Must Be Love,Ty Herndon,38,95
Let Me Let Go,Faith Hill,33,98
Love Me,112 Featuring Mase,17,89
My Favorite Mistake,Sheryl Crow,20,45
Drive,R.E.M.,28,84
Games,Chuckii Booker,68,100
I Wish The Phone Would Ring,Expose,28,86
Keep The Faith,Bon Jovi,29,98
These Are Days,"10,000 Maniacs",66,97
This Could Be The One,Bad Company,87,99
Bug A Boo,Destiny's Child,33,96
Don't Say You Love Me,M2M,21,98
Satisfy You,Puff Daddy Featuring R. Kelly,2,80
She Thinks My Tractor's Sexy,Kenny Chesney,74,100
Someday,Sugar Ray,7,50
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,93,99
The Quittin' Kind,Joe Diffie,90,94
"Baby, You Look Good To Me Tonight",John Denver,65,66
C.b. Savage,Rod Hart,67,67
Do It To My Mind,Johnny Bristol,43,43
"Do What You Want, Be What You Are",Daryl Hall John Oates,39,59
If Not You,Dr. Hook,55,87
Love Me,Yvonne Elliman,14,100
Muskrat Love,Captain & Tennille,4,97
Turn Loose Of My Leg,Jim Stafford,98,98
Up Your Nose,Gabriel Kaplan,91,91
Another Puff,Jerry Reed,65,65
Family Affair,Sly & The Family Stone,1,30
Five Hundred Miles,Heaven Bound with Tony Scotti,79,82
It's One Of Those Nights (Yes Love),The Partridge Family Starring Shirley Jones Featuring David Cassidy,20,32
Looking For A Love,The J. Geils Band,39,52
Music From Across The Way,James Last,84,84
Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,73,76
Once You Understand,Think,23,43
Those Were The Days,Carroll O'Connor And Jean Stapleton (As The Bunkers),43,58
Way Back Home,Jr. Walker & The All Stars,52,57
What Am I Living For,Ray Charles,54,71
A Penny For Your Thoughts,Tavares,33,98
Give It Up,The Steve Miller Band,60,100
"Let's Go Dancin' (ooh La, La, La)",Kool & The Gang,30,97
Papa Was A Rollin' Stone,Wolf,55,99
Rock This Town,Stray Cats,9,95
Truly,Lionel Richie,1,96
Anniversary,Tony Toni Tone,10,79
Hey Mr. D.J.,Zhane,6,50
"I Love Music (From ""Carlito's Way"")",Rozalla,76,87
I'm In Love,Lisa Keith,84,95
"Indo Smoke (From ""Poetic Justice"")",Mista Grimm,56,96
Just Kickin' It,Xscape,2,49
Looking For Mr. Do Right,Jade,69,100
Really Doe,Ice Cube,54,98
As,Stevie Wonder,36,75
Belle,Al Green,83,100
Don't It Make My Brown Eyes Blue,Crystal Gayle,2,95
God Only Knows,Marilyn Scott,61,71
"If It Don't Fit, Don't Force It",Kellee Patterson,75,99
It's So Easy,Linda Ronstadt,5,97
Ooh Boy,Rose Royce,72,98
Sweet Music Man,Kenny Rogers,44,58
The Next Hundred Years,Al Martino,49,70
The Way I Feel Tonight,Bay City Rollers,24,96
Touch And Gone,Gary Wright,73,73
(Believed You Were) Lucky,'Til Tuesday,95,95
Bad Medicine,Bon Jovi,1,98
Edge Of A Broken Heart,Vixen,26,99
Ghost Town,Cheap Trick,33,100
How Can I Fall?,Breathe,3,94
"Wild Again (From ""Cocktail"")",Starship,73,97
Ain't Nobody,Chaka Khan,22,99
Baby I'm Hooked,ConFunkShun,76,94
Cum On Feel The Noize,Quiet Riot,5,73
Electric Kingdom,Twilight 22,79,98
Gold,Spandau Ballet,29,68
In The Mood,Robert Plant,39,79
Love Has A Mind Of Its Own,Donna Summer,70,96
Synchronicity II,The Police,16,100
Wet My Whistle,Midnight Star,61,91
Biological Didn't Bother,Shaquille O'Neal,78,99
"Down 4 Whateva (From ""A Low Down Dirty Shame"")",Nuttin' Nyce,92,100
Lucas With The Lid Off,Lucas,29,96
Only One Road,Celine Dion,93,97
Tic Toc,Lords Of The Underground,73,95
"What's The Frequency, Kenneth?",R.E.M.,21,49
A Man I'll Never Be,Boston,31,98
Chip Away The Stone,Aerosmith,77,77
Double Vision,Foreigner,2,92
How You Gonna See Me Now,Alice Cooper,12,97
I Love The Nightlife (Disco 'round),Alicia Bridges,5,93
Instant Replay,Dan Hartman,29,99
Lost In Your Love,John Paul Young,55,96
Strange Way,Firefall,11,95
